artifact_name,property_type,stat_name,unit,is_harmful,value_at_85,value_at_100
Браслет,Дополнительное,Восстановление выносливости,%,FALSE,1.02,1.2
Бубльгум,Основное,Скорость передвижения,%,TRUE,-1.28,-1.5
Бубльгум,Основное,Скорость бега,%,TRUE,-1.28,-1.5
Бубльгум,Основное,Пулестойкость,,FALSE,16.4,19.3
Бубльгум,Основное,Защита от взрыва,,FALSE,12.66,14.9
Бубльгум,Основное,Температура,,TRUE,2.12,2.5
Бубльгум,Основное,Реакция на разрыв,%,FALSE,1.62,1.9
Бубльгум,Дополнительное,Пулестойкость,,FALSE,5.525,6.5
Бубльгум,Дополнительное,Защита от разрыва,,FALSE,17.17,20.2
Бубльгум,Дополнительное,Защита от взрыва,,FALSE,4.25,5.0
Ветка Калины,Основное,Живучесть,%,FALSE,1.28,1.5
Ветка Калины,Основное,Эффективность лечения,%,FALSE,9.26,10.9
Ветка Калины,Основное,Радиация,,TRUE,2.12,2.5
Ветка Калины,Основное,Кровотечение,,FALSE,-0.34,-0.4
Ветка Калины,Дополнительное,Выносливость,%,FALSE,13.77,16.2
Ветка Калины,Дополнительное,Эффективность лечения,%,FALSE,3.05,3.7
Ветка Калины,Дополнительное,Живучесть,%,FALSE,0.425,0.5
Вехотка,Основное,Переносимый вес,,FALSE,2.38,2.8
Вехотка,Основное,Защита от разрыва,,FALSE,7.74,9.1
Вехотка,Основное,Защита от взрыва,,FALSE,8.16,9.6
Вехотка,Основное,Радиация,,TRUE,1.06,1.25
Вехотка,Основное,Реакция на разрыв,%,FALSE,0.76,0.9
Вехотка,Дополнительное,Защита от разрыва,,FALSE,2.635,3.1
Вехотка,Дополнительное,Защита от взрыва,,FALSE,2.63,3.2
Вехотка,Дополнительное,Регенерация здоровья,%,FALSE,0.9,1.1
Висмут,Основное,Регенерация здоровья,%,FALSE,1.78,2.1
Висмут,Основное,Биологическое заражение,,TRUE,2.12,2.5
Висмут,Основное,Отдача,%,FALSE,-3.74,-4.4
Висмут,Дополнительное,Регенерация здоровья,%,FALSE,0.595,0.7
Висмут,Дополнительное,Отдача,%,FALSE,-1.275,-1.5
Висмут,Дополнительное,Покачивание,%,FALSE,-5.185,-6.1
Виток,Основное,Выносливость,%,FALSE,13.09,15.4
Виток,Основное,Биологическое заражение,,FALSE,-3.47,-4.08
Виток,Основное,Кровотечение,,FALSE,-0.6,-0.7
Виток,Дополнительное,Выносливость,%,FALSE,4.28,5.2
Виток,Дополнительное,Регенерация здоровья,%,FALSE,0.99,1.2
Виток,Дополнительное,Кровотечение,,FALSE,-0.25,-0.3
Вихрь,Основное,Скорость передвижения,%,FALSE,0.94,1.1
Вихрь,Основное,Скорость бега,%,FALSE,1.28,1.5
Вихрь,Основное,Электрозащита,,FALSE,11.64,13.7
Вихрь,Основное,Температура,,FALSE,-0.16,-0.19
Вихрь,Основное,Холод,,TRUE,0.42,0.5
Вихрь,Основное,Реакция на ожог,%,FALSE,0.94,1.1
Вихрь,Дополнительное,Электрозащита,%,FALSE,3.78,4.6
Вихрь,Дополнительное,Горение,,FALSE,-0.24,-0.3
Вихрь,Дополнительное,Скорость передвижения,%,FALSE,0.32,0.4
Волчьи слезы,Основное,Выносливость,%,FALSE,7.9,9.3
Волчьи слезы,Основное,Переносимый вес,,FALSE,3.74,4.4
Волчьи слезы,Основное,Радиация,,TRUE,0.42,0.5
Волчьи слезы,Основное,Температура,,FALSE,-1.84,-2.16
Волчьи слезы,Основное,Реакция на ожог,%,FALSE,0.42,0.5
Волчьи слезы,Дополнительное,Пулестойкость,,FALSE,3.485,4.1
Волчьи слезы,Дополнительное,Выносливость,%,FALSE,2.55,3.1
Волчьи слезы,Дополнительное,Переносимый вес,,FALSE,1.275,1.5
Всполох,Основное,Скорость передвижения,%,FALSE,0.85,1.0
Всполох,Основное,Скорость бега,%,FALSE,1.15,1.35
Всполох,Основное,Регенерация здоровья,%,FALSE,1.62,1.9
Всполох,Основное,Пси-излучение,,TRUE,1.06,1.25
Всполох,Основное,Реакция на электричество,%,FALSE,1.19,1.4
Всполох,Дополнительное,Скорость передвижения,%,FALSE,0.29,0.35
Всполох,Дополнительное,Регенерация здоровья,%,FALSE,0.425,0.5
Всполох,Дополнительное,Электрозащита,%,FALSE,10.05,12.2
Гантель,Основное,Живучесть,%,FALSE,0.51,0.6
Гантель,Основное,Скорость бега,%,FALSE,0.64,0.75
Гантель,Основное,Переносимый вес,,FALSE,8.33,9.8
Гантель,Основное,Эффективность лечения,%,FALSE,8.33,9.8
Гантель,Основное,Защита от разрыва,,FALSE,11.64,13.7
Гантель,Основное,Радиация,,TRUE,2.12,2.5
Гантель,Дополнительное,Эффективность лечения,%,FALSE,2.805,3.3
Гантель,Дополнительное,Защита от разрыва,,FALSE,3.79,4.6
Гелий,Основное,Скорость передвижения,%,FALSE,0.94,1.1
Гелий,Основное,Скорость бега,%,FALSE,1.28,1.5
Гелий,Основное,Регенерация здоровья,%,FALSE,1.36,1.6
Гелий,Основное,Стойкость,%,FALSE,1.62,1.9
Гелий,Основное,Биологическое заражение,,TRUE,2.12,2.5
Гелий,Дополнительное,Скорость передвижения,%,FALSE,0.32,0.4
Гелий,Дополнительное,Восстановление выносливости,%,FALSE,2.72,3.2
Гелий,Дополнительное,Регенерация здоровья,%,FALSE,0.51,0.6
Гиря,Основное,Живучесть,%,TRUE,-13.6,-16.0
Гиря,Основное,Переносимый вес,,FALSE,5.95,7.0
Гиря,Основное,Защита от температуры,,FALSE,38.25,45.0
Гиря,Основное,Температура,,FALSE,-2.58,-3.04
Гиря,Основное,Реакция на ожог,%,FALSE,0.68,0.8
Гиря,Дополнительное,Защита от огня,,FALSE,7.98,9.7
Гиря,Дополнительное,Скорость передвижения,%,FALSE,0.16,0.2
Гиря,Дополнительное,Защита от температуры,,FALSE,17.0,20.0
Глаз бури,Основное,Живучесть,%,TRUE,-12.58,-14.8
Глаз бури,Основное,Скорость передвижения,%,FALSE,0.64,0.75
Глаз бури,Основное,Скорость бега,%,FALSE,0.85,1.0
Глаз бури,Основное,Переносимый вес,,FALSE,8.33,9.8
Глаз бури,Основное,Защита от температуры,,FALSE,38.25,45.0
Глаз бури,Основное,Защита от биозаражения,,FALSE,38.25,45.0
Глаз бури,Основное,Температура,,FALSE,-1.84,-2.16
Глаз бури,Основное,Биологическое заражение,,FALSE,-1.84,-2.16
Глаз бури,Дополнительное,Защита от температуры,,FALSE,8.5,10.0
Глаз бури,Дополнительное,Защита от биозаражения,,FALSE,4.25,10.0
Глаз бури,Дополнительное,Скорость передвижения,%,FALSE,0.2,0.25
Гребешок,Основное,Пулестойкость,,FALSE,8.59,10.1
Гребешок,Основное,Защита от взрыва,,FALSE,6.63,7.8
Гребешок,Основное,Радиация,,TRUE,1.06,1.25
Гребешок,Дополнительное,Пулестойкость,,FALSE,2.89,3.4
Гребешок,Дополнительное,Защита от взрыва,,FALSE,2.21,2.6
Гребешок,Дополнительное,Кровотечение,,FALSE,-0.765,-0.9
Дезинтегратор,Основное,Выносливость,%,FALSE,10.54,12.4
Дезинтегратор,Основное,Скорость бега,%,FALSE,0.38,0.45
Дезинтегратор,Основное,Восстановление выносливости,%,FALSE,1.62,1.9
Дезинтегратор,Основное,Пси-излучение,,FALSE,-2.58,-3.04
Дезинтегратор,Основное,Реакция на электричество,%,FALSE,0.85,1.0
Дезинтегратор,Дополнительное,Скорость передвижения,%,FALSE,0.37,0.45
Дезинтегратор,Дополнительное,Выносливость,%,FALSE,3.57,4.2
Дезинтегратор,Дополнительное,Восстановление выносливости,%,FALSE,0.57,0.7
Ежик,Основное,Живучесть,%,TRUE,-13.6,-16.0
Ежик,Основное,Переносимый вес,,FALSE,5.95,7.0
Ежик,Основное,Защита от радиации,,FALSE,38.25,45.0
Ежик,Основное,Радиация,,FALSE,-2.58,-3.04
Ежик,Основное,Реакция на разрыв,%,FALSE,0.85,1.0
Ежик,Дополнительное,Выносливость,%,FALSE,2.975,3.5
Ежик,Дополнительное,Защита от разрыва,,FALSE,7.98,9.7
Ежик,Дополнительное,Защита от радиации,,FALSE,17.0,20.0
Ершик,Основное,Восстановление выносливости,%,FALSE,2.64,3.1
Ершик,Основное,Эффективность лечения,%,FALSE,3.91,4.6
Ершик,Основное,Радиация,,FALSE,-1.09,-1.28
Ершик,Основное,Биологическое заражение,,FALSE,-1.84,-2.16
Ершик,Основное,Реакция на разрыв,%,FALSE,0.76,0.9
Ершик,Дополнительное,Восстановление выносливости,%,FALSE,0.9,1.1
Ершик,Дополнительное,Биологическое заражение,,FALSE,-0.748,-0.88
Ершик,Дополнительное,Эффективность лечения,%,FALSE,1.36,1.6
Жабры,Основное,Живучесть,%,FALSE,1.1,1.3
Жабры,Основное,Регенерация здоровья,%,FALSE,1.96,2.3
Жабры,Основное,Защита от кровотечения,%,FALSE,3.15,3.7
Жабры,Основное,Радиация,,TRUE,2.12,2.5
Жабры,Дополнительное,Восстановление выносливости,%,FALSE,2.72,3.2
Жабры,Дополнительное,Регенерация здоровья,%,FALSE,0.68,0.8
Жабры,Дополнительное,Живучесть,%,FALSE,0.425,0.5
Жар-птица,Основное,Регенерация здоровья,%,FALSE,1.19,1.4
Жар-птица,Основное,Эффективность лечения,%,FALSE,7.4,8.7
Жар-птица,Основное,Защита от кровотечения,%,FALSE,1.28,1.5
Жар-птица,Основное,Температура,,TRUE,1.06,1.25
Жар-птица,Дополнительное,Кровотечение,,FALSE,-0.85,-1.0
Жар-птица,Дополнительное,Регенерация здоровья,%,FALSE,0.425,0.5
Жар-птица,Дополнительное,Эффективность лечения,%,FALSE,2.465,2.9
Жвачка,Основное,Регенерация здоровья,%,FALSE,0.94,1.1
Жвачка,Основное,Пулестойкость,,FALSE,2.21,2.6
Жвачка,Основное,Радиация,,FALSE,-1.84,-2.16
Жвачка,Основное,Температура,,FALSE,-1.09,-1.28
Жвачка,Основное,Кровотечение,,FALSE,-0.94,-1.1
Жвачка,Основное,Реакция на хим. ожог,%,FALSE,0.94,1.1
Жвачка,Дополнительное,Радиация,,FALSE,-0.748,-0.88
Жвачка,Дополнительное,Регенерация здоровья,%,FALSE,0.34,0.4
Жвачка,Дополнительное,Кровотечение,,FALSE,-0.32,-0.4
Желе,Основное,Переносимый вес,,FALSE,7.4,8.7
Желе,Основное,Пулестойкость,,FALSE,9.86,11.6
Желе,Основное,Биологическое заражение,,TRUE,1.06,1.25
Желе,Дополнительное,Переносимый вес,,FALSE,2.39,2.9
Желе,Дополнительное,Пулестойкость,,FALSE,3.21,3.9
Желе,Дополнительное,Защита от разрыва,,FALSE,10.05,12.2
Жильник,Основное,Переносимый вес,,FALSE,7.4,8.7
Жильник,Основное,Пулестойкость,,FALSE,4.84,5.7
Жильник,Основное,Радиация,,TRUE,0.53,0.62
Жильник,Основное,Пси-излучение,,FALSE,-1.09,-1.28
Жильник,Дополнительное,Пулестойкость,,FALSE,1.615,1.9
Жильник,Дополнительное,Восстановление выносливости,%,FALSE,1.7,2.0
Жильник,Дополнительное,Переносимый вес,,FALSE,2.465,2.9
Звено,Основное,Живучесть,%,FALSE,1.78,2.1
Звено,Основное,Переносимый вес,,FALSE,9.26,10.9
Звено,Основное,Температура,,TRUE,2.12,2.5
Звено,Дополнительное,Живучесть,%,FALSE,0.58,0.7
Звено,Дополнительное,Переносимый вес,,FALSE,3.05,3.7
Звено,Дополнительное,Регенерация здоровья,%,FALSE,1.48,1.8
Зеркало,Основное,Живучесть,%,TRUE,-12.58,-14.8
Зеркало,Основное,Скорость передвижения,%,FALSE,0.64,0.75
Зеркало,Основное,Скорость бега,%,FALSE,0.85,1.0
Зеркало,Основное,Переносимый вес,,FALSE,8.33,9.8
Зеркало,Основное,Защита от радиации,,FALSE,38.25,45.0
Зеркало,Основное,Защита от пси-излучения,,FALSE,38.25,45.0
Зеркало,Основное,Радиация,,FALSE,-1.84,-2.16
Зеркало,Основное,Пси-излучение,,FALSE,-1.84,-2.16
Зеркало,Дополнительное,Скорость передвижения,%,FALSE,0.207,0.252
Зеркало,Дополнительное,Защита от радиации,,FALSE,16.47,20.0
Зеркало,Дополнительное,Защита от пси-излучения,,FALSE,16.47,20.0
Змеиный глаз,Основное,Живучесть,%,FALSE,1.62,1.9
Змеиный глаз,Основное,Скорость передвижения,%,FALSE,0.64,0.75
Змеиный глаз,Основное,Скорость бега,%,FALSE,0.85,1.0
Змеиный глаз,Основное,Эффективность лечения,%,TRUE,-3.82,-4.5
Змеиный глаз,Основное,Пси-излучение,,TRUE,2.12,2.5
Змеиный глаз,Дополнительное,Выносливость,%,FALSE,12.41,14.6
Змеиный глаз,Дополнительное,Скорость передвижения,%,FALSE,0.2,0.25
Змеиный глаз,Дополнительное,Живучесть,%,FALSE,0.595,0.7
Золотистая Прима,Основное,Скорость передвижения,%,FALSE,0.6,0.7
Золотистая Прима,Основное,Скорость бега,%,FALSE,0.81,0.95
Золотистая Прима,Основное,Переносимый вес,,FALSE,10.54,12.4
Золотистая Прима,Основное,Радиация,,TRUE,1.06,1.25
Золотистая Прима,Дополнительное,Скорость передвижения,%,FALSE,0.2,0.25
Золотистая Прима,Дополнительное,Переносимый вес,,FALSE,3.57,4.2
Золотистая Прима,Дополнительное,Выносливость,%,FALSE,11.05,13.0
Изюм,Основное,Живучесть,%,TRUE,-2.3,-2.7
Изюм,Основное,Выносливость,%,FALSE,18.36,21.6
Изюм,Основное,Скорость передвижения,%,FALSE,1.36,1.6
Изюм,Основное,Скорость бега,%,FALSE,1.83,2.15
Изюм,Основное,Стойкость,%,FALSE,2.21,2.6
Изюм,Основное,Температура,,TRUE,2.12,2.5
Изюм,Дополнительное,Выносливость,%,FALSE,6.12,7.2
Изюм,Дополнительное,Скорость передвижения,%,FALSE,0.45,0.55
Изюм,Дополнительное,Восстановление выносливости,%,FALSE,4.08,4.8
Иней,Основное,Эффективность лечения,%,FALSE,3.91,4.6
Иней,Основное,Пулестойкость,,FALSE,2.21,2.6
Иней,Основное,Защита от разрыва,,FALSE,11.05,13.0
Иней,Основное,Температура,,FALSE,-0.16,-0.19
Иней,Основное,Холод,,TRUE,0.42,0.5
Иней,Основное,Реакция на разрыв,%,FALSE,0.76,0.9
Иней,Дополнительное,Защита от разрыва,,FALSE,3.74,4.4
Иней,Дополнительное,Выносливость,%,FALSE,7.98,9.7
Иней,Дополнительное,Эффективность лечения,%,FALSE,1.36,1.6
Каблук,Основное,Эффективность лечения,%,FALSE,11.05,13.0
Каблук,Основное,Пулестойкость,,FALSE,4.42,5.2
Каблук,Основное,Защита от взрыва,,FALSE,11.39,13.4
Каблук,Основное,Температура,,FALSE,-0.33,-0.38
Каблук,Основное,Холод,,TRUE,0.85,1.0
Каблук,Основное,Реакция на ожог,%,FALSE,1.28,1.5
Каблук,Дополнительное,Защита от взрыва,,FALSE,3.7,4.5
Каблук,Дополнительное,Защита от разрыва,,FALSE,14.98,18.2
Каблук,Дополнительное,Эффективность лечения,%,FALSE,3.74,4.4
Канифоль,Основное,Переносимый вес,,FALSE,7.4,8.7
Канифоль,Основное,Регенерация здоровья,%,FALSE,1.7,2.0
Канифоль,Основное,Восстановление выносливости,%,FALSE,1.1,1.3
Канифоль,Основное,Биологическое заражение,,TRUE,1.06,1.25
Канифоль,Дополнительное,Переносимый вес,,FALSE,2.38,2.9
Канифоль,Дополнительное,Живучесть,%,FALSE,0.98,1.2
Канифоль,Дополнительное,Регенерация здоровья,%,FALSE,0.58,0.7
Катушка,Основное,Скорость передвижения,%,FALSE,1.02,1.2
Катушка,Основное,Скорость бега,%,FALSE,1.36,1.6
Катушка,Основное,Переносимый вес,,FALSE,4.0,4.7
Катушка,Основное,Защита от огня,,FALSE,13.77,16.2
Катушка,Основное,Температура,,TRUE,2.12,2.5
Катушка,Дополнительное,Скорость передвижения,%,FALSE,0.33,0.4
Катушка,Дополнительное,Защита от огня,,FALSE,4.2,5.1
Катушка,Дополнительное,Защита от кровотечения,%,FALSE,3.54,4.3
Кисель,Основное,Восстановление выносливости,%,FALSE,1.78,2.1
Кисель,Основное,Защита от разрыва,,FALSE,5.18,6.1
Кисель,Основное,Радиация,,FALSE,-1.84,-2.16
Кисель,Основное,Биологическое заражение,,TRUE,0.42,0.5
Кисель,Основное,Реакция на разрыв,%,FALSE,0.51,0.6
Кисель,Дополнительное,Защита от разрыва,,FALSE,1.72,2.1
Кисель,Дополнительное,Восстановление выносливости,%,FALSE,0.595,0.7
Кисель,Дополнительное,Живучесть,%,FALSE,0.51,0.6
Кислотный кристалл,Основное,Живучесть,%,TRUE,-6.8,-8.0
Кислотный кристалл,Основное,Регенерация здоровья,%,FALSE,0.76,0.9
Кислотный кристалл,Основное,Защита от биозаражения,,FALSE,17.0,20.0
Кислотный кристалл,Основное,Биологическое заражение,,FALSE,-1.84,-2.16
Кислотный кристалл,Основное,Реакция на хим. ожог,%,FALSE,0.76,0.9
Кислотный кристалл,Дополнительное,Химзащита,,FALSE,6.01,7.3
Кислотный кристалл,Дополнительное,Защита от биозаражения,,FALSE,8.5,10.0
Кислотный кристалл,Дополнительное,Регенерация здоровья,%,FALSE,0.24,0.3
Ключик,Основное,Радиация,,TRUE,2.12,2.5
Ключик,Основное,Отдача,%,FALSE,-3.74,-4.4
Ключик,Основное,Покачивание,%,FALSE,-5.18,-6.1
Ключик,Дополнительное,Пулестойкость,,FALSE,10.37,12.2
Ключик,Дополнительное,Отдача,%,FALSE,-1.275,-1.5
Ключик,Дополнительное,Покачивание,%,FALSE,-1.785,-2.1
Комета,Основное,Выносливость,%,FALSE,13.77,16.2
Комета,Основное,Скорость передвижения,%,FALSE,0.51,0.6
Комета,Основное,Скорость бега,%,FALSE,0.68,0.8
Комета,Основное,Переносимый вес,,FALSE,2.8,3.3
Комета,Основное,Температура,,TRUE,1.06,1.25
Комета,Дополнительное,Восстановление выносливости,%,FALSE,2.125,2.5
Комета,Дополнительное,Выносливость,%,FALSE,4.59,5.4
Комета,Дополнительное,Скорость передвижения,%,FALSE,0.16,0.2
Корка,Основное,Пулестойкость,,FALSE,8.59,10.1
Корка,Основное,Защита от разрыва,,FALSE,9.1,10.7
Корка,Основное,Температура,,FALSE,-0.16,-0.19
Корка,Основное,Холод,,TRUE,0.42,0.5
Корка,Дополнительное,Защита от разрыва,,FALSE,3.06,3.6
Корка,Дополнительное,Пулестойкость,,FALSE,2.89,3.4
Корка,Дополнительное,Защита от взрыва,,FALSE,6.63,7.8
Красный кристалл,Основное,Живучесть,%,TRUE,-6.8,-8.0
Красный кристалл,Основное,Выносливость,%,FALSE,6.63,7.8
Красный кристалл,Основное,Защита от температуры,,FALSE,17.0,20.0
Красный кристалл,Основное,Температура,,FALSE,-1.84,-2.16
Красный кристалл,Основное,Реакция на ожог,%,FALSE,0.51,0.6
Красный кристалл,Дополнительное,Защита от огня,,FALSE,6.01,7.3
Красный кристалл,Дополнительное,Защита от температуры,,FALSE,8.5,10.0
Красный кристалл,Дополнительное,Выносливость,%,FALSE,2.21,2.6
Креветка,Основное,Живучесть,%,TRUE,-0.42,-0.5
Креветка,Основное,Переносимый вес,,FALSE,9.26,10.9
Креветка,Основное,Пулестойкость,,FALSE,6.04,7.1
Креветка,Основное,Пси-излучение,,TRUE,1.06,1.25
Креветка,Дополнительное,Пулестойкость,,FALSE,2.04,2.4
Креветка,Дополнительное,Защита от взрыва,,FALSE,6.63,7.8
Креветка,Дополнительное,Переносимый вес,,FALSE,3.145,3.7
Криоген,Основное,Переносимый вес,,FALSE,7.06,8.3
Криоген,Основное,Восстановление выносливости,%,FALSE,1.62,1.9
Криоген,Основное,Температура,,FALSE,-2.58,-3.04
Криоген,Дополнительное,Восстановление выносливости,%,FALSE,0.765,0.9
Криоген,Дополнительное,Пулестойкость,,FALSE,4.59,5.4
Криоген,Дополнительное,Переносимый вес,,FALSE,1.2,2.0
Кристалл Изнанки,Основное,Выносливость,%,FALSE,11.05,13.0
Кристалл Изнанки,Основное,Переносимый вес,,FALSE,10.54,12.4
Кристалл Изнанки,Основное,Радиация,,FALSE,-1.09,-1.28
Кристалл Изнанки,Основное,Биологическое заражение,,TRUE,1.06,1.25
Кристалл Изнанки,Дополнительное,Выносливость,%,FALSE,3.74,4.4
Кристалл Изнанки,Дополнительное,Переносимый вес,,FALSE,3.57,4.2
Кристалл Изнанки,Дополнительное,Восстановление выносливости,%,FALSE,2.465,2.9
Куриный бог,Основное,Живучесть,%,FALSE,1.44,1.7
Куриный бог,Основное,Переносимый вес,,FALSE,7.4,8.7
Куриный бог,Основное,Температура,,FALSE,-0.16,-0.19
Куриный бог,Основное,Холод,,TRUE,0.42,0.5
Куриный бог,Основное,Реакция на электричество,%,FALSE,0.85,1.0
Куриный бог,Основное,Реакция на ожог,%,FALSE,0.85,1.0
Куриный бог,Основное,Реакция на хим. ожог,%,FALSE,0.85,1.0
Куриный бог,Основное,Реакция на разрыв,%,FALSE,0.85,1.0
Куриный бог,Дополнительное,Живучесть,%,FALSE,0.49,0.6
Куриный бог,Дополнительное,Переносимый вес,,FALSE,2.465,2.9
Куриный бог,Дополнительное,Восстановление выносливости,%,FALSE,2.465,2.9
Лампочка Ильича,Основное,Живучесть,%,TRUE,-13.6,-16.0
Лампочка Ильича,Основное,Переносимый вес,,FALSE,5.95,7.0
Лампочка Ильича,Основное,Защита от пси-излучения,,FALSE,38.25,45.0
Лампочка Ильича,Основное,Пси-излучение,,FALSE,-2.58,-3.04
Лампочка Ильича,Основное,Реакция на электричество,%,FALSE,1.02,1.2
Лампочка Ильича,Дополнительное,Переносимый вес,,FALSE,1.98,2.4
Лампочка Ильича,Дополнительное,Защита от пси-излучения,,FALSE,16.47,20.0
Лампочка Ильича,Дополнительное,Электрозащита,%,FALSE,7.99,9.7
Ледяной ежик,Основное,Скорость передвижения,%,FALSE,0.85,1.0
Ледяной ежик,Основное,Скорость бега,%,FALSE,1.15,1.35
Ледяной ежик,Основное,Восстановление выносливости,%,FALSE,2.47,2.9
Ледяной ежик,Основное,Биологическое заражение,,TRUE,1.06,1.25
Ледяной ежик,Дополнительное,Выносливость,%,FALSE,11.05,13.0
Ледяной ежик,Дополнительное,Скорость передвижения,%,FALSE,0.28,0.35
Ледяной ежик,Дополнительное,Восстановление выносливости,%,FALSE,0.85,1.0
Липкий репях,Основное,Выносливость,%,FALSE,9.18,10.8
Липкий репях,Основное,Скорость передвижения,%,FALSE,0.34,0.4
Липкий репях,Основное,Скорость бега,%,FALSE,0.47,0.55
Липкий репях,Основное,Радиация,,FALSE,-1.84,-2.16
Липкий репях,Дополнительное,Радиация,,FALSE,-0.748,-0.88
Липкий репях,Дополнительное,Выносливость,%,FALSE,3.06,3.6
Липкий репях,Дополнительное,Скорость передвижения,%,FALSE,0.12,0.15
Личинка,Основное,Выносливость,%,FALSE,11.05,13.0
Личинка,Основное,Эффективность лечения,%,FALSE,7.4,8.7
Личинка,Основное,Температура,,FALSE,-1.09,-1.28
Личинка,Основное,Биологическое заражение,,TRUE,0.53,0.62
Личинка,Дополнительное,Живучесть,%,FALSE,0.99,1.2
Личинка,Дополнительное,Выносливость,%,FALSE,3.62,4.4
Личинка,Дополнительное,Эффективность лечения,%,FALSE,2.39,2.9
Магма,Основное,Живучесть,%,FALSE,1.78,2.1
Магма,Основное,Пулестойкость,,FALSE,3.74,4.4
Магма,Основное,Стойкость,%,FALSE,4.16,4.9
Магма,Основное,Температура,,TRUE,2.12,2.5
Магма,Дополнительное,Живучесть,%,FALSE,0.576,0.699
Магма,Дополнительное,Выносливость,%,FALSE,13.34,16.2
Магма,Дополнительное,Стойкость,%,FALSE,1.4,1.7
Многогранник,Основное,Снижает урон на,ед,FALSE,38.0,45.0
Многогранник,Основное,Перезарядка,с,FALSE,17.0,11.82
Многогранник,Основное,Заряда за активацию,%,FALSE,5.0,2.7
Многогранник,Основное,Выносливость,%,FALSE,17.68,20.8
Многогранник,Основное,Скорость бега,%,FALSE,0.64,0.75
Многогранник,Основное,Восстановление выносливости,%,FALSE,2.72,3.2
Многогранник,Основное,Радиация,,TRUE,2.12,2.5
Многогранник,Дополнительное,Восстановление выносливости,%,FALSE,0.91,1.1
Многогранник,Дополнительное,Выносливость,%,FALSE,5.76,7.0
Многогранник,Дополнительное,Скорость передвижения,%,FALSE,0.618,0.75
Морозец,Основное,Живучесть,%,FALSE,2.3,2.7
Морозец,Основное,Температура,,FALSE,-0.33,-0.38
Морозец,Основное,Холод,,TRUE,0.85,1.0
Морозец,Основное,Горение,,FALSE,-0.34,-0.4
Морозец,Дополнительное,Живучесть,%,FALSE,0.765,0.9
Морозец,Дополнительное,Горение,,FALSE,-0.17,-0.2
Морозец,Дополнительное,Защита от взрыва,,FALSE,12.665,14.9
Нервяк,Основное,Скорость передвижения,%,FALSE,0.6,0.7
Нервяк,Основное,Скорость бега,%,FALSE,0.81,0.95
Нервяк,Основное,Эффективность лечения,%,FALSE,7.4,8.7
Нервяк,Основное,Пулестойкость,,TRUE,-1.7,-2.0
Нервяк,Основное,Температура,,TRUE,1.06,1.25
Нервяк,Дополнительное,Скорость передвижения,%,FALSE,0.2,0.25
Нервяк,Дополнительное,Эффективность лечения,%,FALSE,2.465,2.9
Нервяк,Дополнительное,Переносимый вес,,FALSE,7.395,8.7
Обруч,Основное,Регенерация здоровья,%,FALSE,1.96,2.3
Обруч,Основное,Пулестойкость,,FALSE,7.74,9.1
Обруч,Основное,Пси-излучение,,TRUE,2.12,2.5
Обруч,Дополнительное,Пулестойкость,,FALSE,2.55,3.1
Обруч,Дополнительное,Выносливость,%,FALSE,12.02,14.6
Обруч,Дополнительное,Регенерация здоровья,%,FALSE,0.68,0.8
