artifact_name,property_type,stat_name,unit,is_harmful,value_at_85,value_at_100,protection_affected,efficiency_affected
Висмут,Дополнительное,Покачивание,%,FALSE,-5.185,-6.1,FALSE,FALSE
Виток,Основное,Выносливость,%,FALSE,13.09,15.4,FALSE,TRUE
Виток,Основное,Биологическое заражение,,FALSE,-3.468,-4.08,FALSE,FALSE
Виток,Основное,Кровотечение,,FALSE,-0.595,-0.7,FALSE,FALSE
Виток,Дополнительное,Выносливость,%,FALSE,4.28,5.2,FALSE,TRUE
Виток,Дополнительное,Регенерация здоровья,%,FALSE,0.99,1.2,FALSE,TRUE
Виток,Дополнительное,Кровотечение,,FALSE,-0.25,-0.3,FALSE,FALSE
Вихрь,Основное,Скорость передвижения,%,FALSE,0.935,1.1,FALSE,TRUE
Вихрь,Основное,Скорость бега,%,FALSE,1.275,1.5,FALSE,TRUE
Вихрь,Основное,Электрозащита,%,FALSE,11.645,13.7,FALSE,TRUE
Вихрь,Основное,Температура,,FALSE,-0.1632,-0.192,FALSE,FALSE
Вихрь,Основное,Холод,,TRUE,0.425,0.5,FALSE,FALSE
Вихрь,Основное,Реакция на ожог,,FALSE,0.935,1.1,FALSE,TRUE
Вихрь,Дополнительное,Электрозащита,%,FALSE,3.78,4.6,FALSE,TRUE
Вихрь,Дополнительное,Горение,,FALSE,-0.24,-0.3,FALSE,FALSE
Вихрь,Дополнительное,Скорость передвижения,%,FALSE,0.32,0.4,FALSE,TRUE
Волчьи слезы,Основное,Выносливость,%,FALSE,7.905,9.3,FALSE,TRUE
Волчьи слезы,Основное,Переносимый вес,с,FALSE,3.74,4.4,FALSE,TRUE
Волчьи слезы,Основное,Радиация,,TRUE,0.425,0.5,TRUE,FALSE
Волчьи слезы,Основное,Температура,,FALSE,-1.836,-2.16,FALSE,FALSE
Волчьи слезы,Основное,Реакция на ожог,,FALSE,0.425,0.5,FALSE,TRUE
Волчьи слезы,Дополнительное,Пулестойкость,,FALSE,3.485,4.1,FALSE,TRUE
Волчьи слезы,Дополнительное,Выносливость,%,FALSE,2.55,3.1,FALSE,TRUE
Волчьи слезы,Дополнительное,Переносимый вес,,FALSE,1.275,1.5,FALSE,TRUE
Всполох,Основное,Скорость передвижения,%,FALSE,0.85,1.0,FALSE,TRUE
Всполох,Основное,Скорость бега,%,FALSE,1.1475,1.35,FALSE,TRUE
Всполох,Основное,Регенерация здоровья,,FALSE,1.19,1.4,FALSE,TRUE
Всполох,Основное,Пси-излучение,,TRUE,1.0625,1.25,TRUE,FALSE
Всполох,Основное,Реакция на электричество,%,FALSE,1.19,1.4,FALSE,TRUE
Всполох,Дополнительное,Скорость передвижения,%,FALSE,0.29,0.35,FALSE,TRUE
Всполох,Дополнительное,Регенерация здоровья,%,FALSE,0.425,0.5,FALSE,TRUE
Всполох,Дополнительное,Электрозащита,%,FALSE,10.05,12.2,FALSE,TRUE
Гантель,Основное,Живучесть,,FALSE,0.51,0.6,FALSE,TRUE
Гантель,Основное,Скорость бега,%,FALSE,0.6375,0.75,FALSE,TRUE
Гантель,Основное,Переносимый вес,с,FALSE,8.33,9.8,FALSE,TRUE
Гантель,Основное,Эффективность лечения,,FALSE,8.33,9.8,FALSE,TRUE
Гантель,Основное,Защита от разрыва,,FALSE,11.645,13.7,FALSE,TRUE
Гантель,Основное,Радиация,,TRUE,2.125,2.5,TRUE,FALSE
Гантель,Дополнительное,Эффективность лечения,%,FALSE,2.805,3.3,FALSE,TRUE
Гантель,Дополнительное,Защита от разрыва,,FALSE,3.79,4.6,FALSE,TRUE
Гелий,Основное,Скорость передвижения,%,FALSE,0.935,1.1,FALSE,TRUE
Гелий,Основное,Скорость бега,%,FALSE,1.275,1.5,FALSE,TRUE
Гелий,Основное,Регенерация здоровья,,FALSE,1.36,1.6,FALSE,TRUE
Гелий,Основное,Стойкость,,FALSE,1.615,1.9,FALSE,TRUE
Гелий,Основное,Биологическое заражение,,TRUE,2.125,2.5,TRUE,FALSE
Гелий,Дополнительное,Скорость передвижения,%,FALSE,0.32,0.4,FALSE,TRUE
Гелий,Дополнительное,Восстановление выносливости,%,FALSE,2.72,3.2,FALSE,TRUE
Гелий,Дополнительное,Регенерация здоровья,%,FALSE,0.51,0.6,FALSE,TRUE
Гиря,Основное,Живучесть,,TRUE,-13.6,-16.0,FALSE,TRUE
Гиря,Основное,Переносимый вес,с,FALSE,5.95,7.0,FALSE,TRUE
Гиря,Основное,Защита от температуры,,FALSE,38.25,45.0,FALSE,TRUE
Гиря,Основное,Температура,,FALSE,-2.584,-3.04,FALSE,FALSE
Гиря,Основное,Реакция на ожог,,FALSE,0.68,0.8,FALSE,TRUE
Гиря,Дополнительное,Защита от огня,,FALSE,7.98,9.7,FALSE,TRUE
Гиря,Дополнительное,Скорость передвижения,%,FALSE,0.16,0.2,FALSE,TRUE
Гиря,Дополнительное,Защита от температуры,,FALSE,17.0,20.0,FALSE,TRUE
Глаз бури,Основное,Живучесть,,TRUE,-12.58,-14.8,FALSE,TRUE
Глаз бури,Основное,Скорость передвижения,%,FALSE,0.6375,0.75,FALSE,TRUE
Глаз бури,Основное,Скорость бега,%,FALSE,0.85,1.0,FALSE,TRUE
Глаз бури,Основное,Переносимый вес,с,FALSE,8.33,9.8,FALSE,TRUE
Глаз бури,Основное,Защита от температуры,,FALSE,38.25,45.0,FALSE,TRUE
Глаз бури,Основное,Защита от биозаражения,,FALSE,38.25,45.0,FALSE,TRUE
Глаз бури,Основное,Температура,,FALSE,-1.836,-2.16,FALSE,FALSE
Глаз бури,Основное,Биологическое заражение,,FALSE,-1.836,-2.16,FALSE,FALSE
Глаз бури,Дополнительное,Защита от температуры,,FALSE,8.5,10.0,FALSE,TRUE
Глаз бури,Дополнительное,Защита от биозаражения,,FALSE,4.25,10.0,FALSE,TRUE
Глаз бури,Дополнительное,Скорость передвижения,%,FALSE,0.2,0.25,FALSE,TRUE
Гребешок,Основное,Пулестойкость,,FALSE,8.585,10.1,FALSE,TRUE
Гребешок,Основное,Защита от взрыва,,FALSE,6.63,7.8,FALSE,TRUE
Гребешок,Основное,Радиация,,TRUE,1.0625,1.25,TRUE,FALSE
Гребешок,Дополнительное,Пулестойкость,,FALSE,2.89,3.4,FALSE,TRUE
Гребешок,Дополнительное,Защита от взрыва,,FALSE,2.21,2.6,FALSE,TRUE
Гребешок,Дополнительное,Кровотечение,,FALSE,-0.765,-0.9,FALSE,FALSE
Дезинтегратор,Основное,Выносливость,%,FALSE,10.54,12.4,FALSE,TRUE
Дезинтегратор,Основное,Скорость бега,%,FALSE,0.3825,0.45,FALSE,TRUE
Дезинтегратор,Основное,Восстановление выносливости,,FALSE,1.615,1.9,FALSE,TRUE
Дезинтегратор,Основное,Пси-излучение,,FALSE,-2.584,-3.04,FALSE,FALSE
Дезинтегратор,Основное,Реакция на электричество,%,FALSE,0.85,1.0,FALSE,TRUE
Дезинтегратор,Дополнительное,Скорость передвижения,%,FALSE,0.37,0.45,FALSE,TRUE
Дезинтегратор,Дополнительное,Выносливость,%,FALSE,3.57,4.2,FALSE,TRUE
Дезинтегратор,Дополнительное,Восстановление выносливости,%,FALSE,0.57,0.7,FALSE,TRUE
Ежик,Основное,Живучесть,,TRUE,-13.6,-16.0,FALSE,TRUE
Ежик,Основное,Переносимый вес,с,FALSE,5.95,7.0,FALSE,TRUE
Ежик,Основное,Защита от радиации,,FALSE,38.25,45.0,FALSE,TRUE
Ежик,Основное,Радиация,,FALSE,-2.584,-3.04,FALSE,FALSE
Ежик,Основное,Реакция на разрыв,,FALSE,0.85,1.0,FALSE,TRUE
Ежик,Дополнительное,Выносливость,%,FALSE,2.975,3.5,FALSE,TRUE
Ежик,Дополнительное,Защита от разрыва,,FALSE,7.98,9.7,FALSE,TRUE
Ежик,Дополнительное,Защита от радиации,,FALSE,17.0,20.0,FALSE,TRUE
Ершик,Основное,Восстановление выносливости,,FALSE,2.635,3.1,FALSE,TRUE
Ершик,Основное,Эффективность лечения,,FALSE,3.91,4.6,FALSE,TRUE
Ершик,Основное,Радиация,,FALSE,-1.088,-1.28,FALSE,FALSE
Ершик,Основное,Биологическое заражение,,FALSE,-1.836,-2.16,FALSE,FALSE
Ершик,Основное,Реакция на разрыв,,FALSE,0.765,0.9,FALSE,TRUE
Ершик,Дополнительное,Восстановление выносливости,%,FALSE,0.9,1.1,FALSE,TRUE
Ершик,Дополнительное,Биологическое заражение,,FALSE,-0.748,-0.88,FALSE,FALSE
Ершик,Дополнительное,Эффективность лечения,%,FALSE,1.36,1.6,FALSE,TRUE
Жабры,Основное,Живучесть,,FALSE,1.105,1.3,FALSE,TRUE
Жабры,Основное,Регенерация здоровья,,FALSE,1.955,2.3,FALSE,TRUE
Жабры,Основное,Защита от кровотечения,,FALSE,3.145,3.7,FALSE,TRUE
Жабры,Основное,Радиация,,TRUE,2.125,2.5,TRUE,FALSE
Жабры,Дополнительное,Восстановление выносливости,%,FALSE,2.72,3.2,FALSE,TRUE
Жабры,Дополнительное,Регенерация здоровья,%,FALSE,0.68,0.8,FALSE,TRUE
Жабры,Дополнительное,Живучесть,%,FALSE,0.425,0.5,FALSE,TRUE
Жар-птица,Основное,Регенерация здоровья,,FALSE,1.19,1.4,FALSE,TRUE
Жар-птица,Основное,Эффективность лечения,,FALSE,7.395,8.7,FALSE,TRUE
Жар-птица,Основное,Защита от кровотечения,,FALSE,1.275,1.5,FALSE,TRUE
Жар-птица,Основное,Температура,,TRUE,1.0625,1.25,TRUE,FALSE
Жар-птица,Дополнительное,Кровотечение,,FALSE,-0.85,-1.0,FALSE,FALSE
Жар-птица,Дополнительное,Регенерация здоровья,%,FALSE,0.425,0.5,FALSE,TRUE
Жар-птица,Дополнительное,Эффективность лечения,%,FALSE,2.465,2.9,FALSE,TRUE
Жвачка,Основное,Регенерация здоровья,,FALSE,0.935,1.1,FALSE,TRUE
Жвачка,Основное,Пулестойкость,,FALSE,2.21,2.6,FALSE,TRUE
Жвачка,Основное,Радиация,,FALSE,-1.836,-2.16,FALSE,FALSE
Жвачка,Основное,Температура,,FALSE,-1.088,-1.28,FALSE,FALSE
Жвачка,Основное,Кровотечение,,FALSE,-0.935,-1.1,FALSE,FALSE
Жвачка,Основное,Реакция на хим. ожог,,FALSE,0.935,1.1,FALSE,TRUE
Жвачка,Дополнительное,Радиация,,FALSE,-0.748,-0.88,FALSE,FALSE
Жвачка,Дополнительное,Регенерация здоровья,%,FALSE,0.34,0.4,FALSE,TRUE
Жвачка,Дополнительное,Кровотечение,,FALSE,-0.32,-0.4,FALSE,FALSE
Желе,Основное,Переносимый вес,с,FALSE,7.395,8.7,FALSE,TRUE
Желе,Основное,Пулестойкость,,FALSE,9.86,11.6,FALSE,TRUE
Желе,Основное,Биологическое заражение,,TRUE,1.0625,1.25,TRUE,FALSE
Желе,Дополнительное,Переносимый вес,,FALSE,2.39,2.9,FALSE,TRUE
Желе,Дополнительное,Пулестойкость,,FALSE,3.21,3.9,FALSE,TRUE
Желе,Дополнительное,Защита от разрыва,,FALSE,10.05,12.2,FALSE,TRUE
Жильник,Основное,Переносимый вес,с,FALSE,7.395,8.7,FALSE,TRUE
Жильник,Основное,Пулестойкость,,FALSE,4.845,5.7,FALSE,TRUE
Жильник,Основное,Радиация,,TRUE,0.5312,0.625,TRUE,FALSE
Жильник,Основное,Пси-излучение,,FALSE,-1.088,-1.28,FALSE,FALSE
Жильник,Дополнительное,Пулестойкость,,FALSE,1.615,1.9,FALSE,TRUE
Жильник,Дополнительное,Восстановление выносливости,%,FALSE,1.7,2.0,FALSE,TRUE
Жильник,Дополнительное,Переносимый вес,,FALSE,2.465,2.9,FALSE,TRUE
Звено,Основное,Живучесть,,FALSE,1.785,2.1,FALSE,TRUE
Звено,Основное,Переносимый вес,с,FALSE,9.265,10.9,FALSE,TRUE
Звено,Основное,Температура,,TRUE,2.125,2.5,TRUE,FALSE
Звено,Дополнительное,Живучесть,%,FALSE,0.58,0.7,FALSE,TRUE
Звено,Дополнительное,Переносимый вес,,FALSE,3.05,3.7,FALSE,TRUE
Звено,Дополнительное,Регенерация здоровья,%,FALSE,1.48,1.8,FALSE,TRUE
Зеркало,Основное,Живучесть,,TRUE,-12.58,-14.8,FALSE,TRUE
Зеркало,Основное,Скорость передвижения,%,FALSE,0.6375,0.75,FALSE,TRUE
Зеркало,Основное,Скорость бега,%,FALSE,0.85,1.0,FALSE,TRUE
Зеркало,Основное,Переносимый вес,с,FALSE,8.33,9.8,FALSE,TRUE
Зеркало,Основное,Защита от радиации,,FALSE,38.25,45.0,FALSE,TRUE
Зеркало,Основное,Защита от пси-излучения,,FALSE,38.25,45.0,FALSE,TRUE
Зеркало,Основное,Радиация,,FALSE,-1.836,-2.16,FALSE,FALSE
Зеркало,Основное,Пси-излучение,,FALSE,-1.836,-2.16,FALSE,FALSE
Зеркало,Дополнительное,Скорость передвижения,%,FALSE,0.207,0.252,FALSE,TRUE
Зеркало,Дополнительное,Защита от радиации,,FALSE,16.47,20.0,FALSE,TRUE
Зеркало,Дополнительное,Защита от пси-излучения,,FALSE,16.47,20.0,FALSE,TRUE
Змеиный глаз,Основное,Живучесть,,FALSE,1.615,1.9,FALSE,TRUE
Змеиный глаз,Основное,Скорость передвижения,%,FALSE,0.6375,0.75,FALSE,TRUE
Змеиный глаз,Основное,Скорость бега,%,FALSE,0.85,1.0,FALSE,TRUE
Змеиный глаз,Основное,Эффективность лечения,,TRUE,-3.825,-4.5,FALSE,TRUE
Змеиный глаз,Основное,Пси-излучение,,TRUE,2.125,2.5,TRUE,FALSE
Змеиный глаз,Дополнительное,Выносливость,%,FALSE,12.41,14.6,FALSE,TRUE
Змеиный глаз,Дополнительное,Скорость передвижения,%,FALSE,0.2,0.25,FALSE,TRUE
Змеиный глаз,Дополнительное,Живучесть,%,FALSE,0.595,0.7,FALSE,TRUE
Золотистая Прима,Основное,Скорость передвижения,%,FALSE,0.595,0.7,FALSE,TRUE
Золотистая Прима,Основное,Скорость бега,%,FALSE,0.8075,0.95,FALSE,TRUE
Золотистая Прима,Основное,Переносимый вес,с,FALSE,10.54,12.4,FALSE,TRUE
Золотистая Прима,Основное,Радиация,,TRUE,1.0625,1.25,TRUE,FALSE
Золотистая Прима,Дополнительное,Скорость передвижения,%,FALSE,0.2,0.25,FALSE,TRUE
Золотистая Прима,Дополнительное,Переносимый вес,,FALSE,3.57,4.2,FALSE,TRUE
Золотистая Прима,Дополнительное,Выносливость,%,FALSE,11.05,13.0,FALSE,TRUE
Изюм,Основное,Живучесть,,TRUE,-2.295,-2.7,FALSE,TRUE
Изюм,Основное,Выносливость,%,FALSE,18.36,21.6,FALSE,TRUE
Изюм,Основное,Скорость передвижения,%,FALSE,1.36,1.6,FALSE,TRUE
Изюм,Основное,Скорость бега,%,FALSE,1.8275,2.15,FALSE,TRUE
Изюм,Основное,Стойкость,,FALSE,2.21,2.6,FALSE,TRUE
Изюм,Основное,Температура,,TRUE,2.125,2.5,TRUE,FALSE
Изюм,Дополнительное,Выносливость,%,FALSE,6.12,7.2,FALSE,TRUE
Изюм,Дополнительное,Скорость передвижения,%,FALSE,0.45,0.55,FALSE,TRUE
Изюм,Дополнительное,Восстановление выносливости,%,FALSE,4.08,4.8,FALSE,TRUE
Иней,Основное,Эффективность лечения,,FALSE,3.91,4.6,FALSE,TRUE
Иней,Основное,Пулестойкость,,FALSE,2.21,2.6,FALSE,TRUE
Иней,Основное,Защита от разрыва,,FALSE,11.05,13.0,FALSE,TRUE
Иней,Основное,Температура,,FALSE,-0.1632,-0.192,FALSE,FALSE
Иней,Основное,Холод,,TRUE,0.425,0.5,FALSE,FALSE
Иней,Основное,Реакция на разрыв,,FALSE,0.765,0.9,FALSE,TRUE
Иней,Дополнительное,Защита от разрыва,,FALSE,3.74,4.4,FALSE,TRUE
Иней,Дополнительное,Выносливость,%,FALSE,7.98,9.7,FALSE,TRUE
Иней,Дополнительное,Эффективность лечения,%,FALSE,1.36,1.6,FALSE,TRUE
Каблук,Основное,Эффективность лечения,,FALSE,11.05,13.0,FALSE,TRUE
Каблук,Основное,Пулестойкость,,FALSE,4.42,5.2,FALSE,TRUE
Каблук,Основное,Защита от взрыва,,FALSE,11.39,13.4,FALSE,TRUE
Каблук,Основное,Температура,,FALSE,-0.3264,-0.384,FALSE,FALSE
Каблук,Основное,Холод,,TRUE,0.85,1.0,FALSE,FALSE
Каблук,Основное,Реакция на ожог,,FALSE,1.275,1.5,FALSE,TRUE
Каблук,Дополнительное,Защита от взрыва,,FALSE,3.7,4.5,FALSE,TRUE
Каблук,Дополнительное,Защита от разрыва,,FALSE,14.98,18.2,FALSE,TRUE
Каблук,Дополнительное,Эффективность лечения,%,FALSE,3.74,4.4,FALSE,TRUE
Канифоль,Основное,Переносимый вес,с,FALSE,7.395,8.7,FALSE,TRUE
Канифоль,Основное,Регенерация здоровья,,FALSE,1.7,2.0,FALSE,TRUE
Канифоль,Основное,Восстановление выносливости,,FALSE,1.105,1.3,FALSE,TRUE
Канифоль,Основное,Биологическое заражение,,TRUE,1.0625,1.25,TRUE,FALSE
Канифоль,Дополнительное,Переносимый вес,,FALSE,2.38,2.9,FALSE,TRUE
Канифоль,Дополнительное,Живучесть,%,FALSE,0.98,1.2,FALSE,TRUE
Канифоль,Дополнительное,Регенерация здоровья,%,FALSE,0.58,0.7,FALSE,TRUE
Катушка,Основное,Скорость передвижения,%,FALSE,1.02,1.2,FALSE,TRUE
Катушка,Основное,Скорость бега,%,FALSE,1.36,1.6,FALSE,TRUE
Катушка,Основное,Переносимый вес,с,FALSE,3.995,4.7,FALSE,TRUE
Катушка,Основное,Защита от огня,,FALSE,13.77,16.2,FALSE,TRUE
Катушка,Основное,Температура,,TRUE,2.125,2.5,TRUE,FALSE
Катушка,Дополнительное,Скорость передвижения,%,FALSE,0.33,0.4,FALSE,TRUE
Катушка,Дополнительное,Защита от огня,,FALSE,4.2,5.1,FALSE,TRUE
Катушка,Дополнительное,Защита от кровотечения,%,FALSE,3.54,4.3,FALSE,TRUE
Кисель,Основное,Восстановление выносливости,,FALSE,1.785,2.1,FALSE,TRUE
Кисель,Основное,Защита от разрыва,,FALSE,5.185,6.1,FALSE,TRUE
Кисель,Основное,Радиация,,FALSE,-1.836,-2.16,FALSE,FALSE
Кисель,Основное,Биологическое заражение,,TRUE,0.425,0.5,TRUE,FALSE
Кисель,Основное,Реакция на разрыв,,FALSE,0.51,0.6,FALSE,TRUE
Кисель,Дополнительное,Защита от разрыва,,FALSE,1.72,2.1,FALSE,TRUE
Кисель,Дополнительное,Восстановление выносливости,%,FALSE,0.595,0.7,FALSE,TRUE
Кисель,Дополнительное,Живучесть,%,FALSE,0.51,0.6,FALSE,TRUE
Кислотный кристалл,Основное,Живучесть,,TRUE,-6.8,-8.0,FALSE,TRUE
Кислотный кристалл,Основное,Регенерация здоровья,,FALSE,0.765,0.9,FALSE,TRUE
Кислотный кристалл,Основное,Защита от биозаражения,,FALSE,17.0,20.0,FALSE,TRUE
Кислотный кристалл,Основное,Биологическое заражение,,FALSE,-1.836,-2.16,FALSE,FALSE
Кислотный кристалл,Основное,Реакция на хим. ожог,,FALSE,0.765,0.9,FALSE,TRUE
Кислотный кристалл,Дополнительное,Химзащита,,FALSE,6.01,7.3,FALSE,TRUE
Кислотный кристалл,Дополнительное,Защита от биозаражения,,FALSE,8.5,10.0,FALSE,TRUE
Кислотный кристалл,Дополнительное,Регенерация здоровья,%,FALSE,0.24,0.3,FALSE,TRUE
Ключик,Основное,Радиация,,TRUE,2.125,2.5,TRUE,FALSE
Ключик,Основное,Отдача,,FALSE,-3.74,-4.4,FALSE,FALSE
Ключик,Основное,Покачивание,,FALSE,-5.185,-6.1,FALSE,FALSE
Ключик,Дополнительное,Пулестойкость,,FALSE,10.37,12.2,FALSE,TRUE
Ключик,Дополнительное,Отдача,%,FALSE,-1.275,-1.5,FALSE,FALSE
Ключик,Дополнительное,Покачивание,%,FALSE,-1.785,-2.1,FALSE,FALSE
Комета,Основное,Выносливость,%,FALSE,13.77,16.2,FALSE,TRUE
Комета,Основное,Скорость передвижения,%,FALSE,0.51,0.6,FALSE,TRUE
Комета,Основное,Скорость бега,%,FALSE,0.68,0.8,FALSE,TRUE
Комета,Основное,Переносимый вес,с,FALSE,2.805,3.3,FALSE,TRUE
Комета,Основное,Температура,,TRUE,1.0625,1.25,TRUE,FALSE
Комета,Дополнительное,Восстановление выносливости,%,FALSE,2.125,2.5,FALSE,TRUE
Комета,Дополнительное,Выносливость,%,FALSE,4.59,5.4,FALSE,TRUE
Комета,Дополнительное,Скорость передвижения,%,FALSE,0.16,0.2,FALSE,TRUE
Корка,Основное,Пулестойкость,,FALSE,8.585,10.1,FALSE,TRUE
Корка,Основное,Защита от разрыва,,FALSE,9.095,10.7,FALSE,TRUE
Корка,Основное,Температура,,FALSE,-0.1632,-0.192,FALSE,FALSE
Корка,Основное,Холод,,TRUE,0.425,0.5,FALSE,FALSE
Корка,Дополнительное,Защита от разрыва,,FALSE,3.06,3.6,FALSE,TRUE
Корка,Дополнительное,Пулестойкость,,FALSE,2.89,3.4,FALSE,TRUE
Корка,Дополнительное,Защита от взрыва,,FALSE,6.63,7.8,FALSE,TRUE
Красный кристалл,Основное,Живучесть,,TRUE,-6.8,-8.0,FALSE,TRUE
Красный кристалл,Основное,Выносливость,%,FALSE,6.63,7.8,FALSE,TRUE
Красный кристалл,Основное,Защита от температуры,,FALSE,17.0,20.0,FALSE,TRUE
Красный кристалл,Основное,Температура,,FALSE,-1.836,-2.16,FALSE,FALSE
Красный кристалл,Основное,Реакция на ожог,,FALSE,0.51,0.6,FALSE,TRUE
